Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-26,26.624082476514523,27.129914232118225,26.327984048383062,27.055891036987305,45880000,0.0,0.0
2017-01-27,27.124977925858538,27.60860324882254,26.85848992671436,27.57899284362793,47199600,0.0,0.0
2017-01-30,27.36926155091372,27.39146982860856,26.626552136161212,27.147188186645508,49600400,0.0,0.0
2017-01-31,26.883161902490222,27.154585885995118,26.69810112239267,26.93991470336914,36275600,0.0,0.0
2017-02-01,27.28536465313516,28.158851850215942,27.107705984910485,28.11690330505371,59000400,0.0,0.0
2017-02-02,27.95651950503343,28.558582706417674,27.650550954086846,28.47222137451172,48324000,0.0,0.0
2017-02-03,28.4870214459697,28.59805904140306,28.104563637349635,28.22300148010254,37274400,0.0,0.0
2017-02-06,28.129240001467217,28.9509103585818,28.129240001467217,28.945974349975586,50676800,0.0,0.0
2017-02-07,29.28895607439732,29.83673636007529,29.09155901131623,29.395057678222656,74622400,0.0,0.0
2017-02-08,29.214933534880956,29.439473005068027,28.71650203319535,29.26675033569336,44958000,0.0,0.0
2017-02-09,29.328440354025442,29.377789155450547,28.524042089550722,28.71650505065918,84256800,0.0,0.0
2017-02-10,29.592458225266643,29.782453167612648,27.78379673585904,28.035480499267578,165109200,0.0,0.0
2017-02-13,27.978728078467338,28.124310234343028,26.698106614349545,26.742521286010742,118072400,0.0,0.0
2017-02-14,26.64628422019562,27.179260168299976,26.226813873381918,26.841215133666992,85063200,0.0,0.0
2017-02-15,26.870825788802403,27.092899102601223,26.589533552169105,26.89550018310547,37302000,0.0,0.0
2017-02-16,26.991733601916792,27.004071741233552,26.07136563797338,26.463693618774414,64717600,0.0,0.0
2017-02-17,26.327979534717016,26.503172062991172,25.856692394145686,26.458757400512695,56374000,0.0,0.0
2017-02-21,26.70550645515733,27.445749612142684,26.70303845085738,27.406269073486328,55195200,0.0,0.0
2017-02-22,27.527331136627154,27.621214823708655,27.174036462664187,27.364273071289062,43377200,0.035,0.0
2017-02-23,26.06473980605743,26.284622294386686,24.62685565708182,24.82697296142578,159288800,0.0,0.0
2017-02-24,23.982026760205734,25.200028198531193,23.643555114657374,25.06661605834961,102990400,0.0,0.0
2017-02-27,25.249442156303296,25.946148822657864,25.091324464996696,25.79544448852539,71540000,0.0,0.0
2017-02-28,25.891798064986585,25.99062021091616,24.898619288154514,25.071561813354492,62536000,0.0,0.0
2017-03-01,25.64226941622442,25.785564175667695,24.9801508185301,25.39521026611328,50480400,0.0,0.0
